month_of_service,blue_line_riders,green_line_riders,orange_line_riders,red_line_riders,bluebike_riders,avg_bluebike_length,year,bluebike_subsidy
2018-07-01,1871505,4854824,5029552,6407474,242916,1948.05,2018,0
2018-08-01,1823972,4778718,5057984,6473801,236076,1911.11,2018,0
2018-09-01,1758284,5086612,4949573,6277034,236182,1470.93,2018,0
2018-10-01,1900843,5543461,5581553,7087303,200100,2016.3,2018,0
2018-11-01,1658350,4710656,4950758,6120446,121419,1234.79,2018,0
2018-12-01,1534083,4190922,4457194,5414553,81961,1340.85,2018,0
2019-01-01,1606484,4442494,4825535,5934838,69872,1177.8,2019,0
2019-02-01,1474714,4278179,4478618,5594678,80466,1253.25,2019,0
2019-03-01,1638864,4692764,4996003,6256835,102369,1500.95,2019,0
2019-04-01,1777688,5044398,5225900,6497257,166694,1452.64,2019,0
2019-05-01,1858843,4853219,5354899,6705541,223084,1580.08,2019,0
2019-06-01,1817989,4628747,5080673,6124291,274083,3310.92,2019,0
2019-07-01,1986990,4846481,5350327,6558589,317028,3516.25,2019,0
2019-08-01,1941946,4643466,5220991,6463959,337519,3867.35,2019,0
2019-09-01,1919750,4903676,5371381,6639955,363185,1406.67,2019,0
2019-10-01,1970127,4968201,5258169,7164378,305504,1214.86,2019,0
2019-11-01,1692175,4280366,4680848,5843990,190759,1226.28,2019,0
2019-12-01,1626513,4011537,4607713,5341073,92208,1320.86,2019,0
2020-01-01,1761812,4380768,5041751,6286266,128598,1062.73,2020,0
2020-02-01,1607164,4111130,4558025,5777034,133235,1103.02,2020,0
2020-03-01,990544,2035024,2614438,3081763,107350,1597.43,2020,0
2020-04-01,204396,232847,463825,529103,46793,2798.54,2020,0
2020-05-01,161186,292649,548013,635404,124879,2763.69,2020,0
2020-06-01,420098,442697,878747,940803,191843,2329.74,2020,0
2020-07-01,601730,758147,1186796,1279618,259726,2320.52,2020,0
2020-08-01,575160,987774,1296660,1458827,289033,1863.66,2020,0
2020-09-01,698212,1270411,1508907,1644315,307853,1879.58,2020,0
2020-10-01,699029,1350943,1574354,1729511,248424,1464.07,2020,0
2020-11-01,604304,1146277,1345735,1477327,161712,1475.44,2020,0
2020-12-01,560106,1015921,1220244,1389002,74002,1325.1,2020,0
2021-01-01,576132,1056887,1255781,1392431,71805,1220.22,2021,0
2021-02-01,552548,1092775,1214637,1361622,60447,1320.32,2021,0
2021-03-01,690112,1326665,1450143,1703232,139046,1606.71,2021,0
2021-04-01,732545,1406004,1527832,1829137,187816,1704.15,2021,0
2021-05-01,816744,1516471,1775222,2084202,270893,1948.39,2021,0
